,y_obs,y_pred,%_error
0,0.398,0.3980000000000001,1.3947525434989404e-14
1,0.0596,0.09344,56.77852348993288
2,0.205,0.25666,25.200000000000006
3,0.383,0.29159999999999997,23.864229765013064
4,0.669,0.29159999999999997,56.41255605381167
5,0.398,0.3299,17.110552763819094
6,0.203,0.16354600000000002,19.43546798029556
12,0.00573,0.00573,0.0
13,0.00573,0.00573,0.0
14,0.00573,0.00573,0.0
15,0.00573,0.00573,0.0
16,0.0111,0.01234,11.171171171171169
17,0.013,0.014109999999999998,8.538461538461526
18,0.0172,0.021849999999999998,27.03488372093022
19,0.0575,0.08088,40.660869565217375
20,0.0151,0.058789999999999995,289.33774834437077
21,0.0181,0.05948,228.6187845303867
22,0.0284,0.10605,273.41549295774644
23,0.0679,0.09469299999999999,39.459499263622945
24,0.014,0.01386,0.9999999999999964
25,0.0178,0.01628,8.539325842696632
26,0.028,0.10589000000000001,278.1785714285715
27,0.0758,0.023659000000000006,68.78759894459102
28,0.0103,0.013680000000000001,32.81553398058253
29,0.0157,0.016339999999999997,4.076433121019098
30,0.0302,0.02984,1.192052980132459
31,0.0642,0.069423,8.135514018691598
32,0.0123,0.02373,92.92682926829268
33,0.0166,0.025780000000000004,55.30120481927713
34,0.0406,0.036649999999999995,9.729064039408874
35,0.0859,0.062343,27.423748544819556
36,0.0116,0.012689999999999998,9.396551724137924
37,0.0143,0.015220000000000001,6.433566433566439
38,0.0289,0.036649999999999995,26.816608996539784
39,0.0855,0.08088,5.40350877192984
40,0.0586,0.054090000000000006,7.696245733788384
41,0.0643,0.06534000000000001,1.61741835147747
42,0.0703,0.06730000000000001,4.267425320056883
43,0.0743,0.07682,3.3916554508748242
44,0.0924,0.09331,0.9848484848484935
45,0.0227,0.056380000000000006,148.37004405286345
46,0.068,0.06747000000000002,0.7794117647058658
47,0.0872,0.08057,7.603211009174308
48,0.106,0.09823000000000001,7.3301886792452695
49,0.127,0.11465,9.724409448818896
50,0.0927,0.10804,16.5480043149946
51,0.127,0.123,3.1496062992126013
52,0.176,0.1609,8.579545454545457
53,0.192,0.19189999999999996,0.05208333333335651
54,0.219,0.22719999999999999,3.7442922374429157
55,0.0627,0.06101000000000001,2.6953748006379534
56,0.0773,0.07652,1.0090556274256004
57,0.117,0.10896000000000002,6.871794871794864
58,0.164,0.16620000000000001,1.3414634146341509
59,0.203,0.1779,12.364532019704438
60,0.107,0.11599999999999999,8.411214953271024
61,0.18,0.18759999999999996,4.222222222222205
62,0.26,0.23420000000000005,9.923076923076907
63,0.34,0.23420000000000005,31.117647058823522
64,0.415,0.23420000000000005,43.56626506024095
