id,Name,Paper,Water type,pH,Conductivity (uS),SO4 (mg/l),Cl (mg/l),K (mg/l),Na (mg/l),Ca (mg/l),Mg (mg/l),Concentration (mg/l),Particle size (nm),HD_0,HD_60,ksed (1/h)
47,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,5,11.2,NA,929,6.80E-02
48,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,10,11.2,NA,929,8.72E-02
49,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,15,11.2,NA,929,1.06E-01
50,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,20,11.2,NA,929,1.27E-01
51,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,10,103.1,NA,763,9.27E-02
52,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,20,103.1,NA,763,1.27E-01
53,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,30,103.1,NA,763,1.76E-01
54,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,40,103.1,NA,763,1.92E-01
55,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,50,103.1,NA,763,2.19E-01
56,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,5,20.3,NA,953,6.27E-02
57,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,10,20.3,NA,953,7.73E-02
58,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,20,20.3,NA,953,1.17E-01
59,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,30,20.3,NA,953,1.64E-01
60,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,40,20.3,NA,953,2.03E-01
61,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,20,27.4,NA,908,1.07E-01
62,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,40,27.4,NA,908,1.80E-01
63,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,60,27.4,NA,908,2.60E-01
64,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,80,27.4,NA,908,3.40E-01
65,Culture,Chen_2019,Culture,7,NA,NA,NA,NA,NA,NA,NA,100,27.4,NA,908,4.15E-01
