Time,T1,T2,H1,S1,H2,S2
0,100,100,100,100,100,100
3,83.13570262,93.48010417,76.0754845,65.75432733,82.61035933,78.77493916
6,68.98230758,91.17396777,63.72714525,54.04367772,73.96391046,50.72409323
12,62.97202782,77.62447387,53.06602623,44.86012388,60.81453137,39.02052796
24,59.75948607,38.22237053,36.21734461,34.97649537,56.62508624,29.5679837
