Time,T1,T2,H1,S1,H2,S2
0,100,100,100,100,100,100
3,93.3468054,87.4351893,88.25646689,69.21747396,92.47847072,87.43548377
6,84.52131907,77.4608896,78.18900537,55.33091767,84.78532104,82.95615712
12,74.44241043,66.33788831,75.37584391,47.6816695,73.52028873,75.37635162
24,65.20731811,57.92689183,61.65125957,40.99286397,65.2070985,68.32669912
