Time,H0,S0,H1,S1,H3,S3,H5,S5
0,100.1080649,100.264606,100.1080649,100.264606,100.264606,100.2332782,100.3586482,100.1080649
3,85.49327705,89.17718599,86.70401941,87.11139857,84.8809971,86.16380917,87.46600847,84.35214522
6,64.1316322,78.33055341,66.68634615,73.69981085,70.63319585,73.33223149,73.14912987,69.5816045
12,54.51291872,63.23609259,57.57711718,64.63462285,58.11944086,61.0992885,62.17793676,60.71860879
24,47.06655695,55.98032087,50.49504485,55.37137233,50.90698836,52.0653787,57.39746953,51.35437902
48,32.70409119,46.55457148,35.25122173,40.06989064,35.25122173,36.91988115,36.14361071,35.47223181
