Time,H0,S0,H1,S1,H3,S3,H5,S5
20,2.318213572,5.622443102,2.764183202,4.93321731,3.149338791,4.041278051,3.270966872,3.757479196
40,4.325076906,9.068572059,5.054845391,8.338803574,5.662985795,7.244150846,6.39275428,6.919809297
60,6.129226772,12.83904256,7.386050274,11.21733482,8.217175493,10.77136519,9.109114752,9.392913608
120,9.778069197,21.88006324,13.50799701,19.20424546,14.21749415,17.21765348,14.86617725,15.43377496
