Time,H0,S0,H1,S1,H3,S3,H5,S5
20,13.70558376,29.94923858,15.77499422,27.85548211,15.43942511,22.15080727,16.61391699,19.80182352
40,27.41116751,50.50761421,28.98802785,47.73795177,30.70781953,38.25812446,34.73464883,35.40578705
60,39.84771574,72.58883249,41.82354624,65.10365312,45.64064484,53.86208799,49.16412048,50.00304325
120,65.2284264,132.4873096,69.38215925,125.0027389,80.20426299,95.1370883,86.07672238,90.43912078
