Time,T1,T2,H1,S1,H2,S2
10,4.141359837,4.026646596,5.863149735,4.543273436,3.395499094,6.207546231
20,6.790869802,6.963035953,7.594376034,8.512595507,5.70054837,12.81681348
40,12.37676912,13.35231312,14.21333646,15.647926,11.05689282,23.62502187
60,15.95406335,18.53649142,21.29121404,30.81774107,16.29845984,33.97412051
