Time,T1,T2,H1,S1,H2,S2
10,0.458204334,0.817337461,0.613003096,0.681114551,0.352941176,0.489164087
20,0.66873065,1.046439628,0.891640867,1.07120743,0.699690402,1.170278638
40,1.102167183,1.380804954,1.523219814,2.018575851,1.19504644,1.368421053
60,1.535603715,1.659442724,2.092879257,3.027863777,1.944272446,2.018575851
