Time,T1,T2,H1,S1,H2,S2
10,13.63636364,30.51948052,20.12987013,16.88311688,25.32467532,46.1038961
20,20.45454545,51.2987013,32.14285714,54.87012987,42.20779221,88.63636364
40,43.18181818,78.57142857,62.66233766,105.1948052,82.14285714,167.2077922
60,73.7012987,129.2207792,92.85714286,139.2857143,97.07792208,189.6103896
