Time,5A,10A,100A,P25,25R
3,65049.50495,41881.18812,71584.15842,61485.14851,61188.11881
6,92376.23762,63267.32673,87326.73267,71287.12871,79009.90099
12,121782.1782,74257.42574,112277.2277,102772.2772,102475.2475
24,164851.4851,147029.703,142277.2277,149702.9703,111386.1386
27,130099.0099,105445.5446,129801.9802,101881.1881,98316.83168
30,110792.0792,69801.9802,97722.77228,88217.82178,89405.94059
36,77821.78218,49306.93069,47524.75248,34158.41584,64455.44554
48,23762.37624,19603.9604,19306.93069,15148.51485,9801.980198
