Time,5A,10A,100A,P25,25R
3,731.6473366,1818.567199,2020.479287,1414.836709,358.9730378
6,2068.937251,4786.354012,2845.295198,2643.429953,888.8019711
12,4712.414045,6839.763167,5038.504057,4898.704353,1777.603942
24,6396.896255,8198.202207,6365.886905,6334.830713,2250.894681
27,4690.632553,7361.51187,5560.299601,5777.6461,2004.318825
30,3636.642559,6354.059321,5204.933391,4164.550973,1680.149332
36,2460.160949,4929.17502,4494.43518,3391.893538,1000.613629
48,1396.263889,2529.768039,1116.664481,1147.767514,371.3627251
