Time,ASW1,ASW2,AEW,AFW,LW,SW
0,0,0,0,0,0,0
10,-0.568870143,-0.506867652,-0.473819176,-0.308529573,-0.96141406,-0.878769259
20,-1.87327902,-1.365004046,-1.724518378,-1.600551175,-1.612947895,-1.745179578
30,-2.760312759,-2.318163071,-2.487594359,-1.991734995,-2.363617712,-2.404940113
40,-3.639110354,-2.936620095,-2.829181853,-2.337454729,-2.808539543,-2.998622587
50,-4.08815498,-3.29475544,-3.042688795,-2.898060392,-2.980705194,-3.522028644
