Time,C1,C2,C3,C4
0,0,0,0,0
20,-0.290322581,-0.362903226,-0.638709677,-1.698387097
40,-0.406451613,-0.486290323,-1.139516129,-2.961290323
50,-0.508064516,-0.653225806,-1.415322581,-3.505645161
