Time,ASW1,ASW2,AEW,AFW,LW,SW
0,0,0,0,0,0,0
10,-0.296174863,-0.232786885,-0.363934426,-0.275409836,-0.336393443,-0.249180328
20,-0.446994536,-0.343169399,-0.485245902,-0.407868852,-0.44,-0.37442623
30,-0.57704918,-0.526775956,-0.569398907,-0.426885246,-0.490491803,-0.453114754
40,-0.640437158,-0.560655738,-0.617486339,-0.459672131,-0.592786885,-0.485245902
50,-0.738797814,-0.72568306,-0.735519126,-0.49704918,-0.700983607,-0.651803279
