Time,ASW1,ASW2,AEW,AFW,LW,SW
0,0,0,0,0,0,0
10,-0.208943089,-0.243089431,-0.283739837,-0.117073171,-0.169105691,-0.149593496
20,-0.376422764,-0.304065041,-0.414634146,-0.249593496,-0.318699187,-0.291869919
30,-0.467479675,-0.332520325,-0.505691057,-0.360162602,-0.420325203,-0.395934959
40,-0.533333333,-0.380487805,-0.545528455,-0.422764228,-0.464227642,-0.421138211
50,-0.560162602,-0.404878049,-0.591869919,-0.526829268,-0.522764228,-0.522764228
