Age_days,Dry_weight_mg
0.980937607,0.010700595
1.996206415,0.011949048
2.989499277,0.012524052
5.041366486,0.020086362
5.989464473,0.027760542
7.026212033,0.033060871
7.995291579,0.048165357
8.941848267,0.066312665
9.998334402,0.087489372
11.95981186,0.109250034
13.01565165,0.134818698
14.02947859,0.145864594
14.99855814,0.16096908
15.96798572,0.173708665
18.90073038,0.195708724
