Time,C1,C2,C3,C4,C5
0,0.074221453,0.140657439,0.213321799,0.280795848,0.34100346
3,0.060726644,0.101730104,0.137543253,0.171280277,0.196712803
6,0.041522491,0.063321799,0.061245675,0.074221453,0.071626298
18,0.012975779,0.010899654,0.01349481,0.01349481,0.010380623
24,0.006747405,0.007785467,0.009861592,0.009342561,0.006747405
