Time,C1,C2,C3,C4,C5
0,0.009056604,0.054339623,0.106792453,0.16,0.207924528
3,0.009056604,0.044528302,0.085660377,0.12,0.14754717
6,0.008301887,0.039622642,0.068301887,0.089056604,0.1
18,0.005660377,0.013962264,0.015849057,0.016603774,0.01245283
24,0.005283019,0.009811321,0.01245283,0.011698113,0.007924528
