Time,C1,C2,C3,C4,C5
0,0.184248734,0.353145488,0.495246286,0.643160038,0.745663535
3,0.12869836,0.212562587,0.232363021,0.223055872,0.200911706
6,0.090611822,0.106925196,0.094109583,0.094102448,0.084795299
18,0.032608912,0.030286584,0.02911115,0.023294628,0.019804001
24,0.022832659,0.014683107,0.020499629,0.017005435,0.015840704
