Time,C1,C2,C3,C4,C5
0,0.011945392,0.050853242,0.080204778,0.105460751,0.164505119
3,0.011262799,0.048256,0.072013652,0.09112628,0.136860068
6,0.006484642,0.035153584,0.054607509,0.072013652,0.098634812
18,0.005460751,0.014334471,0.018771331,0.022866894,0.023890785
24,0.002389078,0.009215017,0.013651877,0.015017065,0.011262799
