Time,Simijarvi,Iso
0,1,1
50,0.969926551,1.006604605
100,0.967769018,1.006604605
150,0.963453953,1.015234736
200,0.965611486,1.017392269
250,0.959138888,1.008762138
300,0.963453953,1.013077203
